Date,Chemistry
15/01/1990,2456
15/02/1990,2611
15/03/1990,1851
17/04/1990,1439
15/05/1990,717
14/06/1990,332
16/07/1990,277
15/08/1990,123
17/09/1990,453
15/10/1990,860
15/11/1990,1059
17/12/1990,1085
15/01/1991,1611
14/02/1991,1343
14/03/1991,1378
17/04/1991,853
15/05/1991,766
11/06/1991,738
15/07/1991,326
20/08/1991,479
16/09/1991,446
16/10/1991,81
14/11/1991,1324
16/12/1991,1010
14/01/1992,1153
13/02/1992,1810
16/03/1992,2009
14/04/1992,1271
12/05/1992,1048
11/06/1992,481
16/07/1992,399
13/08/1992,306
14/09/1992,334
14/10/1992,482
16/11/1992,1733
15/12/1992,1058
18/01/1993,1300
15/02/1993,1020
16/03/1993,1650
14/04/1993,1761
17/05/1993,451
15/06/1993,326
14/07/1993,246
16/08/1993,265
15/09/1993,136
14/10/1993,472
15/11/1993,700
15/12/1993,1633
17/01/1994,2270
14/02/1994,1312
14/03/1994,1834
13/04/1994,1410
17/05/1994,458
14/06/1994,383
14/07/1994,155
15/08/1994,156
13/09/1994,475
18/10/1994,535
16/11/1994,828
14/12/1994,2202
17/01/1995,1358
15/02/1995,1928
16/03/1995,1641
19/04/1995,1279
15/05/1995,1796
14/06/1995,887
18/07/1995,497
16/08/1995,439
12/09/1995,309
16/10/1995,488
16/11/1995,628
14/12/1995,1541
16/01/1996,1502
16/02/1996,1356
18/03/1996,1371
15/04/1996,3080
13/05/1996,2006
13/06/1996,440
15/07/1996,470
14/08/1996,225
16/09/1996,113
14/10/1996,159
14/11/1996,3026
16/12/1996,2647
15/01/1997,1481
17/02/1997,2037
17/03/1997,1510
15/04/1997,1273
21/05/1997,1133
17/06/1997,1389
15/07/1997,400
14/08/1997,263
15/09/1997,250
14/10/1997,374
18/11/1997,1756
17/12/1997,2093
14/01/1998,2597
18/02/1998,3274
17/03/1998,3178
14/04/1998,1604
13/05/1998,1456
16/06/1998,842
15/07/1998,570
17/08/1998,326
16/09/1998,366
15/10/1998,839
16/11/1998,1322
15/12/1998,1218
14/01/1999,1970
11/02/1999,1928
15/03/1999,1373
15/04/1999,1467
17/05/1999,853
14/06/1999,777
13/07/1999,195
16/08/1999,271
15/09/1999,227
14/10/1999,1168
16/11/1999,897
20/12/1999,3762
